,date,compound,positive,negative,neutral
196,2021-08-24,0.2714,0.054,0.044,0.903
197,2021-08-25,0.5719,0.121,0.0,0.879
198,2021-08-26,0.25,0.044,0.027,0.929
199,2021-08-27,-0.34,0.0,0.057,0.943
200,2021-08-28,-0.3818,0.086,0.116,0.799
201,2021-08-29,0.0,0.0,0.0,1.0
202,2021-08-30,0.5619,0.083,0.049,0.869
203,2021-08-31,-0.936,0.053,0.205,0.742
204,2021-09-01,0.9613,0.131,0.042,0.827
205,2021-09-02,0.9965,0.238,0.024,0.738
206,2021-09-03,0.938,0.138,0.047,0.814
207,2021-09-04,0.4404,0.097,0.0,0.903
208,2021-09-06,0.8027,0.19,0.107,0.703
209,2021-09-07,0.4588,0.13,0.0,0.87
210,2021-09-09,-0.0798,0.068,0.086,0.846
211,2021-09-10,0.8765,0.114,0.045,0.841
212,2021-09-11,0.5574,0.076,0.025,0.899
213,2021-09-12,0.8932,0.202,0.0,0.798
214,2021-09-13,-0.0772,0.028,0.03,0.942
215,2021-09-14,-0.429,0.035,0.111,0.854
216,2021-09-15,0.0,0.0,0.0,1.0
217,2021-09-16,0.93,0.299,0.0,0.701
218,2021-09-17,0.9586,0.153,0.019,0.828
219,2021-09-18,0.9788,0.142,0.047,0.811
220,2021-09-19,-0.0032,0.122,0.122,0.756
221,2021-09-20,0.9337,0.137,0.0,0.863
222,2021-09-21,0.9628,0.273,0.0,0.727
223,2021-09-22,0.9279,0.121,0.057,0.822
224,2021-09-23,0.296,0.163,0.08,0.758
225,2021-09-24,0.0,0.0,0.0,1.0
226,2021-09-25,-0.5433,0.045,0.094,0.861
227,2021-09-26,0.4404,0.091,0.0,0.909
228,2021-09-27,0.0,0.0,0.0,1.0
229,2021-09-28,-0.2073,0.07,0.077,0.852
230,2021-09-29,-0.5106,0.0,0.235,0.765
231,2021-09-30,0.8979,0.291,0.0,0.709
232,2021-10-01,0.4019,0.137,0.0,0.863
233,2021-10-02,-0.1012,0.093,0.106,0.801
234,2021-10-03,0.7664,0.186,0.029,0.784
235,2021-10-04,-0.0553,0.106,0.115,0.78
236,2021-10-05,0.0,0.0,0.0,1.0
237,2021-10-06,0.0,0.0,0.0,1.0
238,2021-10-07,0.9828,0.144,0.031,0.825
239,2021-10-08,0.9272,0.171,0.048,0.781
240,2021-10-09,0.4215,0.098,0.065,0.836
241,2021-10-10,0.9872,0.323,0.035,0.641
242,2021-10-11,0.9438,0.161,0.05,0.789
243,2021-10-12,0.7515,0.199,0.099,0.702
244,2021-10-13,-0.4932,0.0,0.113,0.887
245,2021-10-14,0.5,0.143,0.107,0.75
246,2021-10-15,0.9081,0.196,0.0,0.804
247,2021-10-16,0.5267,0.468,0.0,0.532
248,2021-10-17,0.8462,0.203,0.045,0.752
249,2021-10-18,0.2415,0.136,0.112,0.752
250,2021-10-19,0.9209,0.336,0.0,0.664
251,2021-10-20,0.8558,0.173,0.032,0.795
252,2021-10-21,0.0,0.0,0.0,1.0
253,2021-10-22,0.0772,0.093,0.098,0.809
254,2021-10-23,0.6124,0.152,0.0,0.848
255,2021-10-24,0.1154,0.113,0.107,0.78
256,2021-10-25,0.924,0.171,0.056,0.774
257,2021-10-26,0.983,0.166,0.066,0.768
258,2021-10-27,0.8225,0.323,0.0,0.677
259,2021-10-28,0.9788,0.121,0.054,0.825
260,2021-10-29,0.4019,0.059,0.0,0.941
261,2021-10-30,0.4404,0.293,0.0,0.707
262,2021-10-31,0.3612,0.044,0.016,0.94
263,2021-11-01,0.91,0.122,0.033,0.845
264,2021-11-02,0.785,0.154,0.056,0.79
265,2021-11-03,0.0,0.0,0.0,1.0
266,2021-11-04,0.8807,0.172,0.0,0.828
267,2021-11-05,0.0258,0.109,0.0,0.891
268,2021-11-06,0.9201,0.14,0.031,0.829
269,2021-11-07,0.7096,0.141,0.046,0.814
270,2021-11-08,-0.228,0.0,0.031,0.969
271,2021-11-09,0.0,0.0,0.0,1.0
272,2021-11-10,0.8807,0.135,0.058,0.807
273,2021-11-11,0.0,0.0,0.0,1.0
274,2021-11-12,0.8462,0.127,0.018,0.855
275,2021-11-13,-0.7406,0.081,0.1,0.819
276,2021-11-14,0.2263,0.081,0.034,0.886
277,2021-11-15,0.4139,0.042,0.021,0.937
278,2021-11-16,0.9186,0.283,0.067,0.65
279,2021-11-17,0.959,0.209,0.08,0.711
280,2021-11-18,-0.6369,0.053,0.147,0.8
281,2021-11-19,-0.6508,0.125,0.153,0.722
282,2021-11-20,0.98,0.313,0.032,0.655
283,2021-11-21,0.1027,0.098,0.091,0.81
284,2021-11-22,0.9118,0.112,0.009,0.879
285,2021-11-23,0.0728,0.058,0.057,0.885
286,2021-11-24,0.9399,0.128,0.045,0.826
287,2021-11-25,0.886,0.266,0.03,0.705
288,2021-11-26,0.4215,0.046,0.0,0.954
289,2021-11-27,0.5279,0.079,0.027,0.894
290,2021-11-28,0.4215,1.0,0.0,0.0
291,2021-11-29,0.7178,0.179,0.0,0.821
292,2021-11-30,0.5507,0.088,0.057,0.855
293,2021-12-01,0.8806,0.108,0.074,0.819
294,2021-12-02,0.3612,0.077,0.0,0.923
295,2021-12-03,0.7964,0.095,0.039,0.866
296,2021-12-04,0.7506,0.186,0.0,0.814
297,2021-12-05,0.0,0.0,0.0,1.0
298,2021-12-06,0.4404,0.213,0.103,0.684
299,2021-12-07,0.2682,0.112,0.105,0.783
300,2021-12-08,-0.1531,0.035,0.066,0.898
301,2021-12-09,-0.836,0.077,0.166,0.758
302,2021-12-10,0.9157,0.178,0.061,0.761
303,2021-12-11,0.34,0.128,0.096,0.776
304,2021-12-12,0.8705,0.231,0.118,0.651
305,2021-12-13,-0.8847,0.05,0.319,0.631
306,2021-12-14,0.7501,0.132,0.048,0.82
307,2021-12-15,0.296,0.065,0.075,0.861
308,2021-12-16,0.7932,0.13,0.081,0.789
309,2021-12-17,0.8502,0.148,0.058,0.794
310,2021-12-18,0.9677,0.141,0.025,0.834
311,2021-12-19,0.3612,0.079,0.0,0.921
312,2021-12-20,0.8519,0.145,0.071,0.784
313,2021-12-21,0.9365,0.151,0.011,0.838
314,2021-12-22,0.6824,0.165,0.103,0.732
315,2021-12-23,0.9597,0.187,0.075,0.738
316,2021-12-24,0.7717,0.169,0.071,0.76
317,2021-12-25,-0.3818,0.0,0.098,0.902
318,2021-12-26,0.0,0.0,0.0,1.0
319,2021-12-27,0.4118,0.039,0.0,0.961
320,2021-12-28,0.1531,0.224,0.129,0.647
321,2021-12-29,0.6218,0.105,0.046,0.849
322,2021-12-30,0.0772,0.034,0.0,0.966
323,2021-12-31,0.3182,0.277,0.0,0.723
324,2022-01-01,0.0,0.0,0.0,1.0
325,2022-01-02,0.6249,0.204,0.0,0.796
326,2022-01-03,-0.5267,0.0,0.069,0.931
327,2022-01-04,-0.7906,0.0,0.146,0.854
328,2022-01-05,0.4404,0.195,0.0,0.805
329,2022-01-06,0.0,0.0,0.0,1.0
330,2022-01-07,-0.6597,0.0,0.241,0.759
331,2022-01-08,0.9246,0.073,0.0,0.927
332,2022-01-09,0.0,0.0,0.0,1.0
333,2022-01-10,-0.9451,0.0,0.26,0.74
334,2022-01-11,-0.0071,0.22,0.184,0.596
335,2022-01-12,0.9538,0.276,0.053,0.671
336,2022-01-13,0.5106,0.249,0.0,0.751
337,2022-01-14,-0.6597,0.0,0.141,0.859
338,2022-01-15,0.6597,0.167,0.0,0.833
339,2022-01-16,0.8402,0.088,0.0,0.912
340,2022-01-17,-0.2023,0.0,0.016,0.984
341,2022-01-18,0.9319,0.12,0.068,0.812
342,2022-01-19,0.9896,0.188,0.018,0.794
343,2022-01-20,0.1531,0.164,0.145,0.691
344,2022-01-21,0.7906,0.092,0.049,0.859
345,2022-01-25,0.93,0.158,0.054,0.788
346,2022-01-26,-0.6597,0.0,0.114,0.886
347,2022-01-27,0.296,0.048,0.028,0.924
348,2022-01-28,0.8004,0.103,0.1,0.797
349,2022-01-29,0.5574,0.06,0.03,0.91
350,2022-01-30,-0.703,0.046,0.084,0.869
351,2022-01-31,0.0,0.0,0.0,1.0
